1980-2023 Billion-Dollar Disasters Cost (in $Millions) By State (CPI-Adjusted)
state,"drought","flooding","freeze","severe storm","tropical cyclone","wildfire","winter storm"
AK,0.0,0.0,0.0,0.0,0.0,2274.5,0.0
AL,6659.8,133.4,147.6,13677.7,26261.5,712.1,2355.5
AR,6535.4,4559.6,289.1,9523.2,700.8,0.0,1124.9
AZ,1343.9,1865.4,0.0,5320.0,0.0,1315.6,0.0
CA,16070.0,18618.8,14999.0,3422.8,0.0,97277.4,0.0
CO,6930.9,2020.3,101.7,28244.8,0.0,7035.3,274.5
CT,12.9,612.4,40.7,811.7,5835.4,0.0,3051.8
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,861.4,22.7,12.2,204.3,1004.7,0.0,905.4
FL,1483.5,1637.0,13470.7,4946.2,357557.2,297.2,3900.5
GA,8041.0,1361.4,1273.8,11731.5,18258.4,286.7,2753.9
HI,0.0,0.0,0.0,0.0,6696.0,5500.0,0.0
IA,15123.3,23688.3,75.2,21050.0,0.0,0.0,229.1
ID,3424.7,568.8,12.2,0.0,0.0,3452.5,0.0
IL,16784.7,9682.2,418.2,23350.5,1007.6,0.0,2323.9
IN,8527.7,5358.8,227.1,13472.8,1027.2,0.0,775.2
KS,22522.1,3543.1,170.4,12160.9,0.0,0.0,154.9
KY,7656.8,933.1,247.5,15132.1,1280.5,0.0,1538.3
LA,5180.1,20868.4,203.5,11613.3,261747.1,0.0,2242.4
MA,19.4,1077.4,48.8,708.0,3578.9,0.0,5073.4
MD,3288.1,265.1,32.6,3347.6,6250.4,0.0,3022.0
ME,12.9,403.5,0.0,201.0,139.1,0.0,1576.5
MI,3195.6,3432.0,48.8,5790.2,0.0,0.0,582.0
MN,9207.4,5609.5,52.9,22561.6,0.0,97.6,219.6
MO,11527.0,15753.4,635.5,24404.6,491.8,0.0,808.8
MS,8464.9,3639.2,125.6,6351.7,60062.4,41.9,4568.8
MT,12748.4,346.8,12.2,1180.2,0.0,3371.0,0.0
NC,10154.7,64.9,303.0,7545.3,66415.8,87.8,2358.6
ND,22832.9,9458.2,12.2,392.7,0.0,12.8,37.6
NE,15751.4,5066.2,84.3,13582.5,0.0,56.4,41.2
NH,12.9,45.0,0.0,158.9,449.2,0.0,1580.6
NJ,487.9,1143.2,48.8,3603.7,51691.7,0.0,5478.0
NM,3089.7,0.0,0.0,1028.9,296.1,2650.1,0.0
NV,431.7,1056.0,0.0,61.0,0.0,1210.2,44.1
NY,613.4,2198.1,69.2,3727.4,66532.4,0.0,7650.9
OH,6208.8,1350.7,405.0,16900.3,3260.1,0.0,1741.7
OK,11812.1,2515.5,609.9,24812.2,0.0,337.5,1033.2
OR,4110.1,1606.3,134.3,104.0,0.0,5750.9,507.1
PA,2446.1,1235.3,101.7,8575.3,11467.4,0.0,3824.7
PR,0.0,0.0,0.0,0.0,122368.6,0.0,0.0
RI,12.9,172.7,8.1,185.8,1315.5,0.0,1095.7
SC,4206.0,2434.3,632.1,4578.2,23703.7,0.0,1515.3
SD,13620.9,5363.4,24.4,2072.1,0.0,105.1,0.0
TN,7086.7,3856.9,189.8,21821.4,1279.6,1778.0,2499.2
TX,38820.9,14832.7,547.8,79117.0,233834.2,3063.6,25153.8
US,336962.5,193083.5,36151.6,442434.4,1367333.3,142107.9,97599.7
UT,512.8,1560.0,12.2,27.8,0.0,1368.2,0.0
VA,4599.6,2146.3,88.7,3649.3,10429.7,0.0,3020.0
VI,0.0,0.0,0.0,0.0,20440.1,0.0,0.0
VT,12.9,850.0,0.0,153.0,1139.7,0.0,1160.7
WA,3921.0,1066.2,109.9,66.7,0.0,2950.3,301.3
WI,5608.7,6300.6,48.8,8683.4,0.0,0.0,217.8
WV,2251.6,2760.4,68.0,1014.1,810.5,0.0,856.8
WY,2734.9,0.0,8.1,1366.7,0.0,1075.2,0.0
